#,"In the past 12 months, how often have you been exposed to loud sounds, even if they only lasted a short time?",On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),When trying to sleep,Other,Have you ever noticed any symptoms after being exposed to loud sounds?,"Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,Headache,Dizziness,Sleep problems,Fatigue,Other,What are you willing to pay for a *simple *pair of earplugs to help protect your hearing?,What are you willing to pay for earplugs *with* advanced technology to help protect your hearing?,"Before we get started, a quick explanation of the term *sound attenuation* (_geluidsdemping (NL)_) to avoid confusion.
fyixxxyniy74fq2vp3km0fyixxxy6xbs,Less than once a month,,In traffic,,,,Listening to music,,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Mostly,,Reusable  earplugs,Earmuffs,,,,On public transport or on a plane,,,At music concerts or festivals,,,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,When trying to sleep,,,,I forget to bring it with me,,,,,,,,,,,,,,,,Not applicable — I always wear hearing protection,,,,,,,,,,,,Option 2,Option 2,Option 2,Current risk of hearing damage,,,,,More comfort,,,,,,,makkelijker meenemen,Option 1,Option 1,"D,C,B,A",A lot,Very ,Very ,A lot,,,Get a hearing test,,,,,,,25,med student,Bachelor’s degree (HBO or WO),Female,moet minstens een weekend mee gaan. App voor notificaties (preventie). Influence inschakelen voor marketing,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 13:26:01,,2026-01-27 13:38:44,caf2511fc0,,
e120huu0w75rp1z1q91lxe120huw5tpu,Multiple times a month,,,,,When playing music (instruments / band / orchestra / DJ),,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,,,,,When trying to sleep,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,,More comfort,,,Reminders via phone/app,,,,,Option 2,Option 1,"C,A,D,B",Very ,A lot,Very ,Somewhat,Wear hearing protection more often,,Get a hearing test,Do my own research on hearing loss,,,,,,25,med student,Bachelor’s degree (HBO or WO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 12:54:04,,2026-01-27 13:09:02,caf2511fc0,,
5t77lm6z6u6s30fpbhu5t77bteqvde2o,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,thuis feestjes,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,,,,,,,,,€30,€90,Complete,Option 1,Option 3,Option 1,Sometimes,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,,,,,,,at parties,,,I forget to bring it with me,,,,It makes communication more difficult,,even aankijken of ik last krijg,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,Better sound quality,,,,,,,,,Option 2,Option 1,"C,A,B,D",Very ,Very ,Somewhat,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,,,,,,25,med student,Bachelor’s degree (HBO or WO),Male,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-27 12:30:24,,2026-01-27 12:46:09,caf2511fc0,,
b7niia71xoneztdscb7nii1izoz5n4t8,Weekly,,,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,At work,,,bij mensen thuis,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€120,Complete,Option 2,Option 2,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It makes communication more difficult,,Option 1,Option 1,Option 2,Current risk of hearing damage,,,Still being able to understand speech,,,,,,,,,makkelijker mee te nemen,Option 3,Option 2,"C,A,D,B",Somewhat,A lot,Not at all,Very ,,,,Do my own research on hearing loss,,Ignore this notification,,,,25,med student,Bachelor’s degree (HBO or WO),Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-27 12:16:24,,2026-01-27 12:26:55,caf2511fc0,,
8mloe6fw903h2ol684aifm8mloe63e1t,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,,,,,,,,€30,€60,Complete,Option 1,Option 2,Option 1,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,,,,,,,,I do not feel it is necessary,,I forget to bring it with me,,,,,,,,Itching or irritation in my ears,Difficulty communicating,,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 2,Option 1,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 2,Option 1,"D,C,A,B",Very ,Very ,Very ,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,26,med student,Bachelor’s degree (HBO or WO),Female,bewaardoosje niet te groot. Moet meeneembaar zijn,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 11:37:27,,2026-01-27 12:01:04,caf2511fc0,,
mqkte94py76z2ufnkzmqkbtynyk2yd3e,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€60,Complete,Option 2,Option 1,Option 1,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,When trying to sleep,,,,I forget to bring it with me,,,,,Not applicable — I always wear hearing protection,,,,Difficulty communicating,,,,,,,,wanneer ik naar een rustiger gebied loop,,,,,,,,,,,Option 2,Option 3,Option 3,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,Better sound quality,,,,,,,,,Option 2,Option 1,"C,A,B,D",Very ,Somewhat,A lot,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,Check again later,,,,,25,med student,Bachelor’s degree (HBO or WO),Male,goed kunnen zien hoe een oortje werkt  - betrouwbaarheid (op website),60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 10:59:37,,2026-01-27 11:16:45,d7f7918fdb,,
e5vj6xg98mxr8e5vd0k1glac1ir2j2mm,Weekly,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,Restaurant,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€90,Complete,Option 1,Option 2,Option 2,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,It makes communication more difficult,,,,,Difficulty communicating,,,,,Reduced sound quality,,,,,,,,,,,,,,Option 1,Option 2,Option 2,,,,Still being able to understand speech,,,,,,Peer pressure to wear hearing protection,,More appealing design,,Option 1,Option 2,"C,D,A,B",Somewhat,A lot,A little,Very ,,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,23,Med student,Bachelor’s degree (HBO or WO),Female,adaptieve demping en moet mooi zijn,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-27 09:58:56,,2026-01-27 10:18:21,d7f7918fdb,,
8tztnpqgc44eq8tjib828yn0rghegovz,Multiple times a month,,,,,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,,,,,,,,,€30,€60,Partial,Option 3,Option 3,Option 2,Always,,,,Noise-cancelling earplugs,,,On public transport or on a plane,In traffic,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,"At sporting events (e.g. stadium events, motorsports)",,At work (noise exposure),While trying to focus (e.g. studying),,,,,I forget to bring it with me,It affects sounds quality,,,,,,,Itching or irritation in my ears,,,Hygiene concerns,,Pressure in my ears,,Sweat or moisture in my ear(s),,,,,,,,,,,,,Option 3,Option 3,Option 3,Current risk of hearing damage,,If my hearing protection reduced noise more effectively,,Better sound quality,,,,,,,,,Option 1,Option 3,"C,A,D,B",Very ,A little,Very ,A lot,,,Get a hearing test,Do my own research on hearing loss,,,,,,32,Investment Associate,Master’s degree,Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-26 15:32:02,,2026-01-26 15:49:05,00ea279728,,
4c1ysxqf6dg646itk4c1bxg1wuipxgnz,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€30,Complete,Option 1,Option 1,Option 2,Always,Disposable foam earplugs,,,,,,,,,,,,,,,,When trying to sleep,,I do not feel it is necessary,,,,,,,,I forget to buy them,,,,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,Current risk of hearing damage,,,,,,,,Reminders via phone/app,Peer pressure to wear hearing protection,,,,Option 2,Option 1,"C,D,A,B",Very ,Somewhat,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,,,,,,30,Assistant,Associate degree (HBO / University of Applied Sciences),Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-26 15:17:17,,2026-01-26 15:29:24,00ea279728,,
j9qad2b30qqy0d1ztkvgzgxj9qad2b30,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€60,€180,Complete,Option 1,Option 2,Option 3,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,,,,,,,,I do not feel it is necessary,,I forget to bring it with me,It affects sounds quality,,,,,,,,,,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 3,Option 3,Current risk of hearing damage,,,Still being able to understand speech,Better sound quality,,,,,,,,,Option 1,Option 3,"C,D,A,B",Somewhat,A little,Somewhat,A lot,Wear hearing protection more often,,,Do my own research on hearing loss,Check again later,,,,,33,"Engineer, business owner",Master’s degree,Male,Geluidskwaliteit,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-01-26 14:48:24,,2026-01-26 15:02:41,467d25d534,,
tziff264rml33iexrjtzifd9mhm0sbht,Multiple times a month,On public transport or on a plane,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€60,€120,Complete,Option 2,Option 1,Option 1,Sometimes,,Reusable  earplugs,Earmuffs,,,,On public transport or on a plane,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,While trying to focus (e.g. studying),When trying to sleep,,,,,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,,It is uncomfortable,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 1,Option 1,"D,C,A,B",Very ,A lot,Very ,Very ,,,Get a hearing test,,,,,,,57,Business owner,Vocational education (MBO),Male,Integration with other healthcare apps,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-26 13:50:09,,2026-01-26 14:11:03,c9afec27af,,
zm490d1ycv7l5hj2pozm490dq4rh7sq4,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€60,€150,Complete,Option 1,Option 2,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,I do not own hearing protection,,,,,,,,Option 2,Option 2,Option 1,Current risk of hearing damage,,,,Better sound quality,,,,,,,,When having symptoms,Option 1,Option 3,"A,B,C,D",Very ,A little,Somewhat,A lot,,,,,,Ignore this notification,,,,20,"Technise bedrijfskunde, op Kantoor zitten en bellen",High school diploma (VMBO / HAVO / VWO),Male,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-26 13:34:36,,2026-01-26 13:44:15,c9afec27af,,
ifybd5kq3os9l7aifybcngovm6lw7nz7,Less than once a month,On public transport or on a plane,,,,,Listening to music,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€60,€90,Complete,Option 2,Option 1,Option 2,Always,,,,Noise-cancelling earplugs,,,On public transport or on a plane,In traffic,,,,,,,At work (noise exposure),While trying to focus (e.g. studying),,,,,I forget to bring it with me,,It is inconvenient,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,Pressure in my ears,,Sweat or moisture in my ear(s),,,,,,,,,,,,,Option 2,Option 2,Option 2,Current risk of hearing damage,,,,Better sound quality,,,Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 1,"B,A,C,D",Somewhat,A lot,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,24,Employed ; Junior Experimentalist,Master’s degree,Female,Nil,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-26 13:10:43,,2026-01-26 13:25:40,c9afec27af,,
2a3fin8iby2xet3v662a3oyra1bsatvv,Multiple times a week,,,,,,,,,,,While trying to focus (e.g. studying),,,I am not sure / I do not remember,,,,,,,,,,,€90,€150,Complete,Option 1,Option 2,Option 1,Mostly,,,,Noise-cancelling earplugs,,,,,,,,,,,At work (noise exposure),,,,I do not feel it is necessary,,,,,,,,,,,,,,I don’t think I need to wear it all the time,,,,,,,,,,,,,,,,Option 1,Option 1,Option 1,,Automatic hearing screening,If my hearing protection reduced noise more effectively,,,More comfort,,,,,,,,Option 2,Option 1,"B,A,C,D",Very ,Very ,Very ,A lot,,,Get a hearing test,,,,,,,41,Operation director,Master’s degree,Male,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-26 12:01:18,,2026-01-26 12:14:09,c9afec27af,,
c2830sclpo2c2lbofpfr32fhomxnlboa,Multiple times a week,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,,,At sporting events (e.g. motorsports or stadium events),,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€150,Complete,Option 3,Option 2,Option 2,Mostly,Disposable foam earplugs,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),,When trying to sleep,,,,,It affects sounds quality,,,It makes communication more difficult,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 1,Option 3,"C,D,A,B",A lot,A lot,A little,Very ,,Try to reduce my sound exposure (change my habits),,,Check again later,Ignore this notification,,,,25,UX Design,Bachelor’s degree (HBO or WO),Male,Toegankelijkheid,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-26 11:06:04,,2026-01-26 11:29:39,00ea279728,,
zqlo2fihhknmj877ezqlo2f3ouf2cqdi,Multiple times a month,,In traffic,,,,Listening to music,,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,Sleep problems,,,€30,€180,Partial,Option 1,Option 2,Option 2,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,,In traffic,,,,,,,,,When trying to sleep,,I do not feel it is necessary,,I forget to bring it with me,,,,,,,,,,It is uncomfortable,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,If my hearing protection reduced noise more effectively,,Better sound quality,More comfort,,,,,,,,Option 2,Option 1,"C,D,B,A",Very ,Somewhat,Somewhat,A lot,,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,,,,,,29,Onderzoeker/Beleidsadviseur,Associate degree (HBO / University of Applied Sciences),Male,Motorrijders,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-01-26 10:41:05,,2026-01-26 10:58:22,00ea279728,,
0kbczpkpg9x4swa9xl6n0kbczpk9ga84,Multiple times a week,On public transport or on a plane,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,In nightclubs or bars,,,,,,Gaming,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,,,€60,€120,Partial,Option 2,Option 2,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,I do not like how it looks,,,I forget to use it,,,,,,Option 1,Option 1,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,,,,,,,More appealing design,,Option 3,Option 2,"C,D,A,B",A little,A lot,Somewhat,A lot,,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,33,CEO / founder,Associate degree (HBO / University of Applied Sciences),Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-26 10:19:28,,2026-01-26 10:39:21,00ea279728,,
p5nt8o1u6q8vcne7g8p5nt8o6d9r339q,Less than once a month,On public transport or on a plane,,At the cinema or theatre,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,(Temporary) hearing loss or muffled hearing,,,,,,€60,€90,Partial,Option 1,Option 2,Option 1,Mostly,Disposable foam earplugs,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,When trying to sleep,,I do not feel it is necessary,,,It affects sounds quality,,It is uncomfortable,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,I don’t think I need to wear it all the time,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 2,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 2,Option 1,"C,A,D,B",A lot,Somewhat,Somewhat,A lot,Wear hearing protection more often,,,Do my own research on hearing loss,,,Turn off this notification,,,26,Support Specialist,Master’s degree,Female,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-26 09:24:24,,2026-01-26 09:40:58,40126b1982,,
uzt9llbvyxrhxmilnuzt9llkjukaa8j2,Multiple times a month,,,,At music concerts or festivals,,,,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,Fatigue,,€30,€120,Complete,Option 3,Option 1,Option 2,Always,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),While trying to focus (e.g. studying),,,,,I forget to bring it with me,,It is inconvenient,It is uncomfortable,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,Pressure in my ears,Reduced sound quality,Sweat or moisture in my ear(s),,,,,,,,,,,,,Option 3,Option 2,Option 1,,,,Still being able to understand speech,Better sound quality,,,,Reminders via phone/app,,,,,Option 1,Option 1,"C,A,D,B",Very ,Very ,Very ,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,36,Lead Designer,Master’s degree,Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-23 08:20:19,,2026-01-23 08:32:29,40126b1982,,
e2tn744bgj60cwo4l7lfe2tn7v4r2g9k,Multiple times a month,On public transport or on a plane,In traffic,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€180,Complete,Option 1,Option 2,Option 2,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,,I do not like how it looks,I forget to bring it with me,It affects sounds quality,It is inconvenient,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 3,Option 1,Current risk of hearing damage,,,,Better sound quality,,,,,Peer pressure to wear hearing protection,,,,Option 2,Option 3,"C,B,A,D",Somewhat,A little,A little,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,33,ENT surgeon,Master’s degree,Male,,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-01-21 20:39:23,,2026-01-21 21:10:06,0368d320a6,,
cx7o8kx4r9baacd1kd2cx7o8ias1r58f,Multiple times a month,,,At the cinema or theatre,At music concerts or festivals,,,,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,(Temporary) hearing loss or muffled hearing,,,,,,€60,€120,Complete,Option 2,Option 1,Option 3,Sometimes,,,,,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,,,I forget to bring it with me,It affects sounds quality,,,It makes communication more difficult,,,,,Difficulty communicating,It is uncomfortable,,,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 2,,,,,Better sound quality,More comfort,,,Reminders via phone/app,,,,,Option 1,Option 1,"C,D,A,B",A lot,A lot,Somewhat,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,38,Audiologist,PhD / Doctorate or higher,Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-19 16:21:28,,2026-01-19 17:28:49,c177eae06e,,
tfmct8r9cxorp4tqibkntfmcthdqqsy1,Multiple times a month,,,,,,,,,,At work,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,,,,,,,€60,€90,Complete,Option 3,Option 3,Option 1,Mostly,,,,,,,,,,,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),While trying to focus (e.g. studying),When trying to sleep,,I do not feel it is necessary,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,Reduced sound quality,,,,,,,,,,,,,,Option 1,Option 1,Option 2,Current risk of hearing damage,,,Still being able to understand speech,Better sound quality,,,,,,,,,Option 2,Option 3,"C,B,A,D",A lot,Somewhat,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,,,,,,37,Entrepreneur,Master’s degree,Male,All good. Thanks!,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-15 14:13:17,,2026-01-15 14:28:58,b25ac33e4a,,
